"Account Password","Account Passwort"
"Air blue","Air blau"
"Background","Hintergrund"
"Belts","Gürtel"
"Boys","Jungs"
"Bras and Swimwear","BHs und Bikini Tops"
"Button name","Name der Schaltfläche"
"Children","Kinder"
"Choose a category...","Wählen Sie eine Kategorie..."
"Dark grey","Dunkelgrau"
"Dresses, Blazers and Jackets","Kleider, Blazer und Jacken"
"Dutch","Niederländisch"
"English","Englisch"
"Font family","Schriftfamilie"
"French","Französisch"
"General","General"
"German","Deutsch"
"Girls","Mädchen"
"Gloves","Handschuhe"
"Green","Grün"
"Groupsettings retrieved and saved","Gruppe einstellungen abgerufen und gespeichert"
"Header","Kopfzeile"
"Help tooltip","Hilfe tooltip"
"Hover","Hover"
"iFrame height","iFrame Höhe"
"iFrame width","iFrame Breite"
"Jeans","Jeans"
"Layout retrieved and saved","Layout abgerufen und gespeichert"
"Maattabel categorie","Größentabelle Kategorie"
"Main","Main"
"Men","Herren"
"Menu (top right)","Menü (oben rechts)"
"Pants","Hose"
"Purple","Violett"
"Retrieve groups","Abrufen gruppe"
"Retrieve layout","Abrufen layout"
"Ribbon","Lint"
"Shirts","Shirts"
"Shoes","Schuh"
"Sizing chart","Größentabele"
"Sizing chart configuration","Größentabele konfiguration"
"Sizing chart group visibility","Größentabele gruppe sichtbarkeit"
"Sizing chart layout","Größentabele layout"
"Skirts","Röcke"
"Slips and Shapewear","Slips und Strings"
"Spanish","Spanisch"
"Style","Stil"
"Sweaters, Blouses and Jackets","Pullover, Blusen und Jacken"
"Sweaters, Outerwear and Blazers","Pullover, Jacken und Blazer"
"Text (hover)","Text (hover)"
"Tops, Shirts, Blouses and Sweaters","Tops, Shirts, Blusen und Pullover"
"Tops and Shirts","Tops und Shirts"
"Under and Swimwear","Unter-und Bademode"
"Women","Damen"
"Yellow","Gelb"
"Yellow simple","Gelb einfache"
"Language","Sprache"
"With this the layout is loaded from your account on the sizing chart website","Damit das Layout von Ihnen geladen Konto auf der Website Größentabelle"
"With this the group visibility settings are loaded from the sizing chart website","Damit die Gruppe Einstellungen für die Sichtbarkeit von der Website geladen Größentabelle"
