"Account Password","Account contraseña"
"Air blue","blue Air"
"Background","Fondo"
"Belts","Cinturones"
"Boys","Zagal"
"Bras and Swimwear","Bras y baño"
"Button name","Nombre del botón"
"Children","Niños"
"Choose a category...","Elegir categoría..."
"Dark grey","Gris oscuro"
"Dresses, Blazers and Jackets","Vestidos, Blazers y chaquetas"
"Dutch","Holandés"
"English","Inglés"
"Font family","Familia de fuentes"
"French","Francés"
"General","General"
"German","Alemán"
"Girls","Chicas"
"Gloves","Guantes"
"Green","Verde"
"Groupsettings retrieved and saved","Configuración del grupo recuperan y guardan"
"Header","Encabezamiento"
"Help tooltip","Ayuda sobre herramientas"
"Hover","Flotar"
"iFrame height","iFrame altura"
"iFrame width","iFrame ancho"
"Jeans","Vaqueros"
"Language","Idioma"
"Layout retrieved and saved","Layout recuperado y guardado"
"Maattabel categorie","Categoría de tamaño carta"
"Main","Principal"
"Men","Hombres"
"Menu (top right)","Menú (arriba a la derecha)"
"Pants","Pantalones"
"Purple","Púrpura"
"Retrieve groups","Recuperar grupos"
"Retrieve layout","Recuperar layout"
"Ribbon","Cinta"
"Shirts","Camisetas"
"Shoes","Zapatos"
"Sizing chart","Tabla de medidas de"
"Sizing chart configuration","Tabla de medidas de configuración"
"Sizing chart group visibility","Tabla de medidas de visibilidad grupo"
"Sizing chart layout","Tabla de medidas de disposición"
"Skirts","Faldas"
"Slips and Shapewear","Resbalones y Fajas"
"Spanish","Español"
"Style","Estilo"
"Sweaters, Blouses and Jackets","Suéteres, blusas y chaquetas"
"Sweaters, Outerwear and Blazers","Sweaters, Abrigos y chaquetas"
"Text (hover)","Texto (flotar)"
"Tops, Shirts, Blouses and Sweaters","Tops, camisas, blusas y suéteres"
"Tops and Shirts","Tops y camisas"
"Under and Swimwear","Bajo y trajes de baño"
"With this the group visibility settings are loaded from the sizing chart website","Con esto la configuración de visibilidad del grupo se cargan desde el sitio web de tabla de tallas"
"With this the layout is loaded from your account on the sizing chart website","Con esto, el diseño está cargado de su cuenta en el sitio web de tallas"
"Women","Mujeres"
"Yellow","Amarillo"
"Yellow simple","Amarillo sencilla"
