"Account Password","Account mot de passe"
"Air blue","blue Air"
"Background","Contexte"
"Belts","Ceintures"
"Boys","Garçons"
"Bras and Swimwear","Bras et maillots de bain"
"Button name","Nom de touche"
"Children","Enfants"
"Choose a category...","Choisissez une catégorie..."
"Dark grey","Gris foncé"
"Dresses, Blazers and Jackets","Robes, blazers et vestes"
"Dutch","Néerlandais"
"English","Anglais"
"Font family","La famille de polices"
"French","Français"
"General","Général"
"German","Allemand"
"Girls","Filles"
"Gloves","Gants"
"Green","Vert"
"Groupsettings retrieved and saved","Paramètres de groupe récupérés et sauvés"
"Header","Header"
"Help tooltip","Aide tooltip"
"Hover","Passez"
"iFrame height","iFrame hauteur"
"iFrame width","iFrame largeur"
"Jeans","Jeans"
"Language","Langue"
"Layout retrieved and saved","Mise récupéré et sauvé"
"Maattabel categorie","Catégorie tableau des tailles"
"Main","Essentiel"
"Men","Hommes"
"Menu (top right)","Menu (en haut à droite)"
"Pants","Pantalon"
"Purple","Pourpre"
"Retrieve groups","Récupérer groupes"
"Retrieve layout","Récupérer disposition"
"Ribbon","Ruban"
"Shirts","Chemises"
"Shoes","Chaussures"
"Sizing chart","Guide des tailles"
"Sizing chart configuration","Guide des tailles configuratie"
"Sizing chart group visibility","Guide des tailles visibilité du groupe"
"Sizing chart layout","Guide des tailles layout"
"Skirts","Jupes"
"Slips and Shapewear","Glissades et amincissants"
"Spanish","Espagnol"
"Style","Style"
"Sweaters, Blouses and Jackets","Chandails, blouses et des vestes"
"Sweaters, Outerwear and Blazers","Chandails, manteaux et blazers"
"Text (hover)","Texte (passez)"
"Tops, Shirts, Blouses and Sweaters","Chemises, chemisiers et chandails"
"Tops and Shirts","Tops et Chemises"
"Under and Swimwear","En vertu des maillots de bain"
"With this the group visibility settings are loaded from the sizing chart website","Avec cela, les paramètres de visibilité du groupe sont chargées à partir du site Guide des tailles"
"With this the layout is loaded from your account on the sizing chart website","Avec cette disposition le sont chargées à partir de votre compte sur le site Guide des tailles"
"Women","Femmes"
"Yellow","Jaune"
"Yellow simple","Jaune simples"
