"Account Password","Account Wachtwoord"
"Air blue","Lucht blauw"
"Background","Achtergrond"
"Belts","Riemen"
"Boys","Jongens"
"Bras and Swimwear","Bhs en Bikinitops"
"Button name","Knop naam"
"Children","Kinderen"
"Choose a category...","Kies een categorie..."
"Dark grey","Donker grijs"
"Dresses, Blazers and Jackets","Manteltjes, Jurken, Blazers en Jassen"
"Dutch","Nederlands"
"English","Engels"
"Font family","Lettertype"
"French","Frans"
"General","Algemeen"
"German","Duits"
"Girls","Meisjes"
"Gloves","Handschoenen"
"Green","Groen"
"Groupsettings retrieved and saved","Groepinstellingen opgehaald en opgeslagen"
"Header","Koptekst"
"Help tooltip","Help tooltip"
"Hover","Hover"
"iFrame height","iFrame hoogte"
"iFrame width","iFrame breedte"
"Jeans","Jeans"
"Language","Taal"
"Layout retrieved and saved","Opmaak opgehaald en opgeslagen"
"Maattabel categorie","Maattabel categorie"
"Main","Hoofdgroepen"
"Men","Heren"
"Menu (top right)","Menu (rechtsboven)"
"Pants","Broeken"
"Purple","Paars"
"Retrieve groups","Laad groepen"
"Retrieve layout","Laad opmaak"
"Ribbon","Lint"
"Shirts","Shirts"
"Shoes","Schoenen"
"Sizing chart","Maattabel"
"Sizing chart configuration","Maattabel configuratie"
"Sizing chart group visibility","Maattabel groep zichtbaarheid"
"Sizing chart layout","Maattabel opmaak"
"Skirts","Rokken"
"Slips and Shapewear","Slips en Strings"
"Spanish","Spaans"
"Style","Stijl"
"Sweaters, Blouses and Jackets","Truien, Blouses en Jassen"
"Sweaters, Outerwear and Blazers","Truien, Blouses, Jassen en Blazers"
"Text (hover)","Tekst (hover)"
"Tops, Shirts, Blouses and Sweaters","Tops, Shirts, Blouses en Truien"
"Tops and Shirts","Tops en Shirts"
"Under and Swimwear","Onder en Badmode"
"With this the group visibility settings are loaded from the sizing chart website","Hiermee worden de groep instellingen vanaf uw account op de maattabel website geladen"
"With this the layout is loaded from your account on the sizing chart website","Hiermee wordt de opmaak vanaf uw account op de maattabel website geladen"
"Women","Dames"
"Yellow","Geel"
"Yellow simple","Geel simpel"
